# associated file path and the corresponding camera poses
# time_stamp, rgb_image, depth_image, tx, ty, tz, qx, qy, qz, qw 
16.9305 rgb/1692837034.966202.png depth/1692837034.964713.png 0.0491659 0.077693 3.89448 -0.000866121 0.0130676 0.000982558 0.999914
16.9638 rgb/1692837034.999525.png depth/1692837034.998061.png 0.051116 0.0783829 3.90224 -0.00064582 0.0128837 0.000965427 0.999916
16.9999 rgb/1692837035.035629.png depth/1692837035.033895.png 0.0517229 0.0783563 3.9101 -0.00094678 0.012388 0.00115161 0.999922
17.0332 rgb/1692837035.068959.png depth/1692837035.067184.png 0.0520596 0.0792121 3.919 -0.00109146 0.0123512 0.000971193 0.999923
17.0666 rgb/1692837035.102331.png depth/1692837035.100567.png 0.0542108 0.0785304 3.9266 -0.00100061 0.0123057 0.000993098 0.999923
17.0999 rgb/1692837035.135680.png depth/1692837035.133925.png 0.0536171 0.0789668 3.93331 -0.000994083 0.0126262 0.0011778 0.999919
17.1478 rgb/1692837035.183555.png depth/1692837035.181363.png 0.0535387 0.078721 3.94125 -0.00143827 0.0123286 0.00157564 0.999922
17.1629 rgb/1692837035.198590.png depth/1692837035.197448.png 0.0537691 0.0786291 3.9512 -0.001984 0.0118492 0.00159571 0.999927
17.2112 rgb/1692837035.246980.png depth/1692837035.245240.png 0.0547134 0.0772097 3.95843 -0.00233374 0.0119054 0.00117128 0.999926
17.2273 rgb/1692837035.262991.png depth/1692837035.261976.png 0.0544376 0.0774613 3.96656 -0.00207134 0.0124091 0.00118482 0.99992
17.2797 rgb/1692837035.315393.png depth/1692837035.313682.png 0.054252 0.0788379 3.97387 -0.00204342 0.0126651 0.00132709 0.999917
17.2949 rgb/1692837035.330614.png depth/1692837035.329593.png 0.0554772 0.0787013 3.98069 -0.00225064 0.0125692 0.00131404 0.999918
17.3455 rgb/1692837035.381259.png depth/1692837035.379787.png 0.0538576 0.0801149 3.99118 -0.00238953 0.0127054 0.00163389 0.999915
17.3613 rgb/1692837035.397033.png depth/1692837035.395916.png 0.0547304 0.0795736 3.99861 -0.00264197 0.0124957 0.00136363 0.999918
17.3916 rgb/1692837035.427291.png depth/1692837035.426413.png 0.056165 0.0801309 4.00754 -0.00260584 0.0125461 0.0010111 0.999917
17.4282 rgb/1692837035.463987.png depth/1692837035.462685.png 0.0571074 0.0820488 4.01473 -0.00287261 0.0133389 -4.97785e-05 0.999907
17.4819 rgb/1692837035.517662.png depth/1692837035.515354.png 0.0538073 0.0835793 4.02467 -0.00420417 0.0144685 -0.000417875 0.999886
17.4994 rgb/1692837035.535135.png depth/1692837035.533970.png 0.0542979 0.0830526 4.03389 -0.0051467 0.0146804 -0.000268652 0.999879
17.5265 rgb/1692837035.562277.png depth/1692837035.561024.png 0.0553185 0.0796834 4.04333 -0.00586505 0.0146718 -0.000364873 0.999875
17.561 rgb/1692837035.596783.png depth/1692837035.595520.png 0.0578073 0.0785977 4.05088 -0.00509406 0.0152877 -0.00111359 0.99987
17.6145 rgb/1692837035.650195.png depth/1692837035.648007.png 0.0551031 0.0781818 4.05704 -0.00422052 0.0168298 -0.00167631 0.999848
17.6293 rgb/1692837035.665041.png depth/1692837035.663671.png 0.05554 0.082067 4.06668 -0.00293317 0.0169308 -0.00132991 0.999852
17.6588 rgb/1692837035.694506.png depth/1692837035.693429.png 0.0542765 0.084509 4.07407 -0.00300787 0.0167935 -0.000272943 0.999854
17.6942 rgb/1692837035.729907.png depth/1692837035.728708.png 0.0541469 0.0837963 4.08323 -0.00362684 0.0152104 -0.000122668 0.999878
17.7482 rgb/1692837035.783954.png depth/1692837035.781791.png 0.0531437 0.0831793 4.09142 -0.00394653 0.0134677 -0.000294473 0.999901
17.7674 rgb/1692837035.803175.png depth/1692837035.801331.png 0.0541993 0.0802634 4.09832 -0.00352041 0.0124955 -0.00111519 0.999915
17.8008 rgb/1692837035.836544.png depth/1692837035.834402.png 0.0554689 0.0824095 4.10433 -0.00280889 0.012444 -0.00118831 0.999918
17.846 rgb/1692837035.881723.png depth/1692837035.879569.png 0.0571806 0.0816944 4.11122 -0.00283016 0.0126758 -0.00172962 0.999914
17.8654 rgb/1692837035.901170.png depth/1692837035.899963.png 0.055465 0.0819509 4.11929 -0.00323133 0.013283 -0.00161932 0.999905
17.9039 rgb/1692837035.939681.png depth/1692837035.938221.png 0.0549609 0.0821387 4.12773 -0.00314076 0.0134482 -0.00137904 0.999904
17.9305 rgb/1692837035.966246.png depth/1692837035.964710.png 0.0549938 0.0835642 4.1359 -0.00301135 0.0132905 -0.000922175 0.999907
17.9637 rgb/1692837035.999467.png depth/1692837035.998043.png 0.05547 0.0849833 4.14389 -0.0031891 0.0131232 -0.00123084 0.999908
17.9995 rgb/1692837036.035272.png depth/1692837036.033650.png 0.0575068 0.0844182 4.15238 -0.00315654 0.013067 -0.00173952 0.999908
18.0499 rgb/1692837036.085669.png depth/1692837036.083135.png 0.056359 0.0833379 4.16303 -0.00315294 0.0133394 -0.00145154 0.999905
18.0655 rgb/1692837036.101234.png depth/1692837036.100192.png 0.0564894 0.083939 4.17029 -0.00280749 0.0134271 -0.00133083 0.999905
18.104 rgb/1692837036.139750.png depth/1692837036.138300.png 0.0573818 0.0829085 4.1789 -0.00278002 0.0134469 -0.00146089 0.999905
18.1305 rgb/1692837036.166246.png depth/1692837036.164859.png 0.057042 0.0875517 4.18575 -0.00241232 0.0137544 -0.00147491 0.999901
18.164 rgb/1692837036.199696.png depth/1692837036.198278.png 0.0588856 0.0872854 4.19423 -0.00372837 0.0136866 -0.00144381 0.999898
18.1998 rgb/1692837036.235524.png depth/1692837036.233827.png 0.0554743 0.0876911 4.20322 -0.00485911 0.0141455 -0.00102147 0.999888
18.2457 rgb/1692837036.281444.png depth/1692837036.279646.png 0.0562475 0.0866209 4.21384 -0.0053732 0.013535 -0.000686802 0.999894
18.2617 rgb/1692837036.297422.png depth/1692837036.296141.png 0.0575934 0.0857354 4.22244 -0.00519294 0.0131677 -0.00102003 0.999899
18.3118 rgb/1692837036.347503.png depth/1692837036.345559.png 0.0583759 0.0877883 4.22931 -0.00481397 0.0132244 -0.00143226 0.9999
18.3292 rgb/1692837036.364939.png depth/1692837036.363909.png 0.0587927 0.0866755 4.23682 -0.00509715 0.0132985 -0.00160475 0.999897
18.359 rgb/1692837036.394784.png depth/1692837036.393746.png 0.0567626 0.0867183 4.24584 -0.00527883 0.0137707 -0.00138017 0.99989
18.4141 rgb/1692837036.449817.png depth/1692837036.447963.png 0.0566278 0.0869139 4.25382 -0.00529112 0.0138255 -0.00154948 0.999889
18.4313 rgb/1692837036.467017.png depth/1692837036.465816.png 0.0567813 0.0863302 4.26232 -0.0054572 0.0139628 -0.00164149 0.999886
18.4603 rgb/1692837036.496058.png depth/1692837036.494954.png 0.0574978 0.0871724 4.26925 -0.00514601 0.0140014 -0.00138936 0.999888
18.4962 rgb/1692837036.531987.png depth/1692837036.530724.png 0.0553672 0.0920801 4.28167 -0.00486211 0.0140994 -0.00116888 0.999888
18.5342 rgb/1692837036.569944.png depth/1692837036.568206.png 0.0551424 0.0920698 4.28941 -0.00522608 0.0139987 -0.0011577 0.999888
18.5676 rgb/1692837036.603364.png depth/1692837036.601625.png 0.0549066 0.0906123 4.29931 -0.00567173 0.0142361 -0.00190585 0.999881
18.6009 rgb/1692837036.636684.png depth/1692837036.634894.png 0.0546982 0.0904309 4.30563 -0.00558191 0.0145685 -0.00202508 0.999876
18.6342 rgb/1692837036.669984.png depth/1692837036.668250.png 0.0552552 0.0913858 4.31409 -0.00548492 0.0146953 -0.00174071 0.999875
18.68 rgb/1692837036.715748.png depth/1692837036.714009.png 0.0545971 0.0915083 4.32335 -0.00559499 0.0143901 -0.00150194 0.99988
18.6955 rgb/1692837036.731203.png depth/1692837036.730207.png 0.0550935 0.0933099 4.32993 -0.00567368 0.0142353 -0.00140234 0.999882
18.7459 rgb/1692837036.781671.png depth/1692837036.779879.png 0.0565207 0.0942093 4.33732 -0.00630244 0.0137965 -0.00183968 0.999883
18.7657 rgb/1692837036.801448.png depth/1692837036.800284.png 0.054526 0.0917599 4.34849 -0.00699162 0.0145328 -0.00261635 0.999867
18.8117 rgb/1692837036.847414.png depth/1692837036.845694.png 0.0549012 0.093089 4.35602 -0.00640027 0.0145368 -0.00214989 0.999872
18.8297 rgb/1692837036.865400.png depth/1692837036.864118.png 0.0539376 0.095143 4.36502 -0.00634861 0.0140912 -0.000882288 0.99988
18.8593 rgb/1692837036.895029.png depth/1692837036.894149.png 0.057887 0.0932402 4.37185 -0.00678686 0.013034 -0.00113198 0.999891
18.9143 rgb/1692837036.950011.png depth/1692837036.948136.png 0.0575318 0.0895524 4.379 -0.00707553 0.0132448 -0.00224722 0.999885
18.9296 rgb/1692837036.965308.png depth/1692837036.964169.png 0.0582443 0.0915995 4.38594 -0.00613885 0.0137858 -0.00246179 0.999883
18.9777 rgb/1692837037.013406.png depth/1692837037.011626.png 0.0570911 0.0942767 4.39466 -0.00567264 0.0143102 -0.00198788 0.99988
18.9971 rgb/1692837037.032816.png depth/1692837037.031527.png 0.0553099 0.093177 4.40245 -0.00613939 0.0144453 -0.00175468 0.999875
19.046 rgb/1692837037.081689.png depth/1692837037.079939.png 0.0581017 0.0915591 4.40806 -0.00587014 0.0139235 -0.00209824 0.999884
19.0634 rgb/1692837037.099147.png depth/1692837037.098019.png 0.0556054 0.0912587 4.41671 -0.00553461 0.0143498 -0.00233897 0.999879
19.1119 rgb/1692837037.147589.png depth/1692837037.145859.png 0.0580059 0.0942343 4.42468 -0.00469458 0.0140403 -0.00201253 0.999888
19.1295 rgb/1692837037.165269.png depth/1692837037.164259.png 0.0580259 0.0932461 4.43252 -0.00435099 0.0139696 -0.0019629 0.999891
19.1596 rgb/1692837037.195378.png depth/1692837037.194271.png 0.0589041 0.093749 4.43809 -0.00369141 0.0141446 -0.00229822 0.999891
19.1957 rgb/1692837037.231487.png depth/1692837037.230343.png 0.058774 0.0943592 4.44618 -0.00363012 0.0143299 -0.00244783 0.999888
19.2337 rgb/1692837037.269475.png depth/1692837037.267764.png 0.0576083 0.0945409 4.4526 -0.00362148 0.0146708 -0.00232474 0.999883
19.2671 rgb/1692837037.302810.png depth/1692837037.301202.png 0.0595526 0.0926582 4.45988 -0.00369057 0.0144851 -0.00254188 0.999885
19.3004 rgb/1692837037.336156.png depth/1692837037.334503.png 0.0595288 0.0938151 4.46881 -0.00311372 0.0150341 -0.00281402 0.999878
19.3461 rgb/1692837037.381833.png depth/1692837037.380080.png 0.0578986 0.0954987 4.47661 -0.00235067 0.0156433 -0.00283142 0.999871
19.3636 rgb/1692837037.399349.png depth/1692837037.398201.png 0.0598383 0.0932765 4.48292 -0.00221444 0.0153181 -0.00254802 0.999877
19.3944 rgb/1692837037.430121.png depth/1692837037.428800.png 0.0585217 0.0949764 4.49131 -0.00127588 0.0156626 -0.00261337 0.999873
19.4314 rgb/1692837037.467139.png depth/1692837037.465833.png 0.0586321 0.0941796 4.50072 -0.000743475 0.0156317 -0.00259568 0.999874
19.4679 rgb/1692837037.503611.png depth/1692837037.501847.png 0.0600795 0.0920982 4.50644 0.000131333 0.0157577 -0.00308354 0.999871
19.5016 rgb/1692837037.537311.png depth/1692837037.535561.png 0.0574003 0.0944936 4.51483 0.00167404 0.0165481 -0.00325777 0.999856
